Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
851;01/04/2014;01/08/2014;LF-2734;LPT21;0%;199
852;01/04/2014;01/08/2014;SL-1814;TBFR86;10%;80
853;01/04/2014;01/08/2014;SP-1703;LPT21;10%;140
854;01/04/2014;01/08/2014;FB-1107;PHBTV15;0%;54
855;01/04/2014;01/08/2014;AA-2209;MFG24;10%;92
856;01/04/2014;01/08/2014;MM-1065;TB10TS;20%;152
857;01/04/2014;02/08/2014;AB-2639;TBFR86;15%;156
858;01/04/2014;02/08/2014;FA-3221;MFG24;10%;81
859;01/04/2014;02/08/2014;LA-1774;MFG24;30%;85
860;01/04/2014;02/08/2014;AR-3799;TBFR86;30%;26
861;01/04/2014;03/08/2014;PS-3554;MFG24;10%;198
862;01/04/2014;03/08/2014;MT-2537;PHBTV10;10%;68
863;01/04/2014;04/08/2014;MS-3247;TB10TS;20%;139
864;01/04/2014;04/08/2014;MS-3247;TBFR86;20%;158
865;01/04/2014;04/08/2014;PS-3554;MSL24;0%;62
866;01/04/2014;04/08/2014;MS-3247;MLELCD;0%;191
867;01/04/2014;05/08/2014;FB-1107;TB10TS;30%;76
868;01/04/2014;05/08/2014;AR-3799;PHBTV15;15%;44
869;01/04/2014;05/08/2014;AA-2209;MFG24;20%;60
870;01/04/2014;05/08/2014;SP-1703;PHBTV15;15%;71
871;01/04/2014;06/08/2014;SP-1703;PHBTV15;20%;101
872;01/04/2014;06/08/2014;LF-2734;MFG24;0%;51
873;01/04/2014;06/08/2014;AR-2734;LPT21;0%;14
874;01/04/2014;06/08/2014;PS-3554;TB10TS;10%;15
875;01/04/2014;06/08/2014;ML-1518;TBFR86;30%;102
876;01/04/2014;07/08/2014;ML-1518;LPT21;0%;84
877;01/04/2014;07/08/2014;BR-2259;PHBTV15;0%;73
878;01/04/2014;08/08/2014;CB-3114;MFG24;10%;195
879;01/04/2014;08/08/2014;MG-2775;TB10TS;15%;128
880;01/04/2014;08/08/2014;BR-2259;TBFR86;20%;134
881;01/04/2014;09/08/2014;AA-2209;MFG24;0%;61
882;01/04/2014;09/08/2014;AB-2664;MFG24;15%;153
883;01/04/2014;09/08/2014;MS-3247;TBFR86;15%;171
884;01/04/2014;09/08/2014;AM-2515;MFG24;30%;77
885;01/04/2014;10/08/2014;AB-2639;PHBTV10;30%;154
886;01/04/2014;10/08/2014;MT-2537;TB10TS;30%;87
887;01/04/2014;10/08/2014;AA-2209;TBFR86;10%;34
888;01/04/2014;10/08/2014;AB-2639;MSL24;10%;11
889;01/04/2014;10/08/2014;ML-1518;MLELCD;20%;76
890;01/04/2014;11/08/2014;FA-3221;TBFR86;30%;49
891;01/04/2014;11/08/2014;AB-2639;PCA72;0%;73
892;01/04/2014;12/08/2014;AB-1440;MFG24;0%;162
893;01/04/2014;12/08/2014;AM-2515;MLELCD;20%;127
894;01/04/2014;12/08/2014;AM-2515;MLELCD;10%;187
895;01/04/2014;12/08/2014;SP-1703;MLELCD;20%;52
896;01/04/2014;12/08/2014;CB-3114;PCA72;30%;154
897;01/04/2014;13/08/2014;AB-1440;LPT21;0%;36
898;01/04/2014;13/08/2014;AB-1440;TB10TS;10%;168
899;01/04/2014;14/08/2014;FB-1107;TBFR86;30%;161
900;01/04/2014;15/08/2014;CB-3114;MFG24;30%;185
901;01/04/2014;15/08/2014;SL-1814;MSL24;15%;157
902;01/04/2014;16/08/2014;SP-1703;MFG24;15%;173
903;01/04/2014;17/08/2014;FB-1107;MLELCD;30%;151
904;01/04/2014;17/08/2014;AA-2209;LPT21;30%;183
905;01/04/2014;18/08/2014;MM-1065;LPT21;10%;64
906;01/04/2014;18/08/2014;AB-2639;TBFR86;20%;163
907;01/04/2014;18/08/2014;FA-3221;MLELCD;10%;183
908;01/04/2014;18/08/2014;LA-1774;TB10TS;10%;146
909;01/04/2014;19/08/2014;AR-3799;PHBTV15;0%;76
910;01/04/2014;19/08/2014;PS-3554;MFG24;15%;142
911;01/04/2014;19/08/2014;MT-2537;BPR34;0%;147
912;01/04/2014;20/08/2014;MS-3247;TB10TS;20%;30
913;01/04/2014;20/08/2014;MS-3247;ERKINDB;30%;160
914;01/04/2014;20/08/2014;PS-3554;MFG24;0%;133
915;01/04/2014;21/08/2014;MS-3247;MFG24;10%;165
916;01/04/2014;21/08/2014;FB-1107;TB10TS;30%;102
917;01/04/2014;21/08/2014;AR-3799;TB10TS;0%;12
918;01/04/2014;21/08/2014;AA-2209;PCA72;0%;51
919;01/04/2014;21/08/2014;CB-3114;NBI3;15%;10
920;01/04/2014;21/08/2014;SL-1814;TBFR86;0%;45
921;01/04/2014;22/08/2014;SP-1703;MLELCD;15%;178
922;01/04/2014;23/08/2014;FB-1107;PHBTV15;15%;87
923;01/04/2014;23/08/2014;AA-2209;MFG24;20%;181
924;01/04/2014;23/08/2014;MM-1065;PHBTV15;30%;143
925;01/04/2014;23/08/2014;AB-2639;PHBTV15;20%;100
926;01/04/2014;24/08/2014;FA-3221;MFG24;30%;64
927;01/04/2014;24/08/2014;LA-1774;LPT21;0%;94
928;01/04/2014;24/08/2014;AR-3799;TB10TS;20%;16
929;01/04/2014;24/08/2014;PS-3554;TBFR86;0%;11
930;01/04/2014;24/08/2014;MT-2537;LPT21;15%;25
931;01/04/2014;25/08/2014;SL-1814;PHBTV15;15%;191
932;01/04/2014;25/08/2014;FB-1107;MFG24;15%;177
933;01/04/2014;25/08/2014;FV-3212;TB10TS;10%;164
934;01/04/2014;26/08/2014;AM-2515;MSL24;30%;200
935;01/04/2014;26/08/2014;AB-1440;PHBTV10;15%;80
936;01/04/2014;26/08/2014;ML-1518;ERKINDB;10%;149
937;01/04/2014;26/08/2014;FA-3221;MFG24;0%;141
938;01/04/2014;26/08/2014;AB-2639;MFG24;10%;86
939;01/04/2014;26/08/2014;CB-3114;TB10TS;15%;124
940;01/04/2014;26/08/2014;SL-1814;TB10TS;10%;125
941;01/04/2014;26/08/2014;SP-1703;PCA72;10%;47
942;01/04/2014;26/08/2014;FB-1107;NBI3;15%;177
943;01/04/2014;26/08/2014;AA-2209;TBFR86;30%;175
944;01/04/2014;26/08/2014;MM-1065;MLELCD;30%;160
945;01/04/2014;26/08/2014;AB-2639;PCA72;30%;77
946;01/04/2014;26/08/2014;FA-3221;LPT21;30%;30
947;01/04/2014;27/08/2014;LA-1774;TB10TS;0%;192
948;01/04/2014;27/08/2014;AR-3799;TBFR86;20%;35
949;01/04/2014;27/08/2014;PS-3554;LPT21;20%;39
950;01/04/2014;28/08/2014;MT-2537;PHBTV15;0%;120
951;01/04/2014;28/08/2014;SL-1814;MFG24;0%;198
952;01/04/2014;29/08/2014;FB-1107;TB10TS;15%;89
