Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
404;01/04/2014;01/04/2014;LF-2734;LPT21;30%;152
405;01/04/2014;01/04/2014;SL-1814;TBFR86;30%;252
406;01/04/2014;01/04/2014;SP-1703;LPT21;20%;390
407;01/04/2014;01/04/2014;FB-1107;PHBTV15;20%;143
408;01/04/2014;01/04/2014;AA-2209;MFG24;0%;200
409;01/04/2014;01/04/2014;MM-1065;TB10TS;0%;490
410;01/04/2014;02/04/2014;AB-2639;TBFR86;30%;57
411;01/04/2014;02/04/2014;FA-3221;MFG24;10%;333
412;01/04/2014;02/04/2014;LA-1774;MFG24;20%;65
413;01/04/2014;02/04/2014;AR-3799;TBFR86;20%;446
414;01/04/2014;03/04/2014;PS-3554;MFG24;10%;459
415;01/04/2014;03/04/2014;MT-2537;PHBTV10;0%;137
416;01/04/2014;04/04/2014;MS-3247;TB10TS;0%;312
417;01/04/2014;04/04/2014;MS-3247;TBFR86;10%;122
418;01/04/2014;04/04/2014;LF-2734;NBI3;15%;366
419;01/04/2014;04/04/2014;GM-3412;PHBTV10;0%;387
420;01/04/2014;04/04/2014;PS-3554;MSL24;0%;150
421;01/04/2014;04/04/2014;MS-3247;MLELCD;15%;492
422;01/04/2014;05/04/2014;FB-1107;TB10TS;30%;54
423;01/04/2014;05/04/2014;AR-3799;PHBTV15;10%;458
424;01/04/2014;05/04/2014;AA-2209;MFG24;0%;476
425;01/04/2014;05/04/2014;SP-1703;PHBTV15;15%;203
426;01/04/2014;06/04/2014;SP-1703;PHBTV15;10%;374
427;01/04/2014;06/04/2014;LF-2734;MFG24;20%;143
428;01/04/2014;06/04/2014;AR-2734;TBFR86;10%;186
429;01/04/2014;06/04/2014;PS-3554;NBI3;10%;186
430;01/04/2014;06/04/2014;ML-1518;PHBTV15;15%;138
431;01/04/2014;07/04/2014;ML-1518;MFG24;0%;357
432;01/04/2014;07/04/2014;BR-2259;LPT21;0%;218
433;01/04/2014;08/04/2014;CB-3114;MLELCD;0%;378
434;01/04/2014;08/04/2014;MG-2775;NBI3;0%;157
