Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
1320;01/02/2014;01/12/2014;PS-3554;PHBTV10;0%;203
1321;01/02/2014;01/12/2014;PS-3554;PCA72;0%;214
1322;01/02/2014;01/12/2014;FA-3221;PHBTV15;0%;375
1323;01/02/2014;01/12/2014;AB-2639;LPT21;0%;334
1324;01/02/2014;02/12/2014;LF-2734;ERKINDB;0%;304
1325;01/02/2014;02/12/2014;AR-3799;MLELCD;0%;226
1326;01/02/2014;02/12/2014;AB-1440;TBFR86;0%;393
1327;01/02/2014;02/12/2014;MM-1065;MLELCD;0%;225
1328;01/02/2014;02/12/2014;AB-2639;MFG24;0%;281
1329;01/02/2014;03/12/2014;FA-3221;PHBTV15;0%;367
1330;01/02/2014;03/12/2014;ML-1518;MSL24;0%;288
1331;01/02/2014;03/12/2014;ML-1518;PCA72;0%;250
1332;01/02/2014;03/12/2014;MT-2537;PHBTV10;0%;362
1333;01/02/2014;03/12/2014;FA-3221;TBFR86;0%;236
1334;01/02/2014;03/12/2014;AM-2515;PHBTV10;0%;242
1335;01/02/2014;04/12/2014;ML-1518;PHBTV15;0%;252
1336;01/02/2014;04/12/2014;LG-1172;BPR34;0%;397
1337;01/02/2014;04/12/2014;AB-1440;PCA72;0%;330
1338;01/02/2014;04/12/2014;AB-1440;MFG24;0%;356
1339;01/02/2014;04/12/2014;AM-2515;TBFR86;0%;388
1340;01/02/2014;04/12/2014;MT-2537;BPR34;0%;263
1341;01/02/2014;05/12/2014;GM-3412;TB10TS;0%;327
1342;01/02/2014;05/12/2014;FD-1456;ERKINDB;0%;224
1343;01/02/2014;05/12/2014;AB-2639;TB10TS;0%;373
1344;01/02/2014;05/12/2014;FB-1107;PHBTV15;0%;388
1345;01/02/2014;06/12/2014;FZ-1836;TB10TS;0%;384
1346;01/02/2014;06/12/2014;FB-1107;LPT21;0%;306
1347;01/02/2014;06/12/2014;MT-2537;MLELCD;0%;224
1348;01/02/2014;06/12/2014;SP-1703;LPT21;0%;276
1349;01/02/2014;07/12/2014;LG-1172;TB10TS;0%;347
1350;01/02/2014;07/12/2014;LA-1774;PHBTV10;0%;385
1351;01/02/2014;07/12/2014;AB-2639;MLELCD;0%;321
1352;01/02/2014;08/12/2014;AA-2209;TBFR86;0%;291
1353;01/02/2014;08/12/2014;MC-2839;MFG24;0%;281
1354;01/02/2014;08/12/2014;FZ-1836;PHBTV15;0%;369
1355;01/02/2014;08/12/2014;LA-1774;PCA72;0%;399
1356;01/02/2014;09/12/2014;MT-2537;TBFR86;0%;223
1357;01/02/2014;09/12/2014;AB-1440;TB10TS;0%;220
1358;01/02/2014;10/12/2014;FA-3221;BPR34;0%;322
1359;01/02/2014;10/12/2014;AB-2639;MSL24;0%;211
1360;01/02/2014;10/12/2014;LF-2734;PHBTV15;0%;387
1361;01/02/2014;10/12/2014;AR-3799;MLELCD;0%;321
1362;01/02/2014;11/12/2014;AB-1440;BPR34;0%;358
1363;01/02/2014;11/12/2014;MM-1065;MSL24;0%;359
1364;01/02/2014;11/12/2014;AB-2639;MLELCD;0%;217
1365;01/02/2014;11/12/2014;FA-3221;ERKINDB;0%;250
1366;01/02/2014;11/12/2014;ML-1518;PHBTV15;0%;324
1367;01/02/2014;12/12/2014;ML-1518;TBFR86;0%;200
1368;01/02/2014;12/12/2014;MT-2537;PHBTV10;0%;368
1369;01/02/2014;12/12/2014;FA-3221;ERKINDB;0%;279
1370;01/02/2014;13/12/2014;AM-2515;LPT21;0%;223
1371;01/02/2014;13/12/2014;ML-1518;PHBTV15;0%;262
1372;01/02/2014;13/12/2014;LG-1172;NBI3;0%;270
1373;01/02/2014;13/12/2014;AB-1440;NBI3;0%;367
1374;01/02/2014;13/12/2014;AB-1440;MLELCD;0%;250
1375;01/02/2014;13/12/2014;AM-2515;TBFR86;0%;315
1376;01/02/2014;13/12/2014;MT-2537;PHBTV15;0%;249
1377;01/02/2014;13/12/2014;GM-3412;MFG24;0%;213
1378;01/02/2014;14/12/2014;FD-1456;ERKINDB;0%;386
1379;01/02/2014;14/12/2014;PS-3554;PHBTV15;0%;306
1380;01/02/2014;14/12/2014;PS-3554;LPT21;0%;291
1381;01/02/2014;14/12/2014;FA-3221;MSL24;0%;235
1382;01/02/2014;14/12/2014;AB-2639;TBFR86;0%;270
