Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
128;01/02/2014;01/02/2014;PS-3554;PHBTV10;15%;281
129;01/02/2014;01/02/2014;PS-3554;PCA72;30%;191
130;01/02/2014;01/02/2014;FA-3221;PHBTV15;10%;257
131;01/02/2014;01/02/2014;AB-2639;LPT21;15%;498
132;01/02/2014;02/02/2014;LF-2734;ERKINDB;20%;446
133;01/02/2014;02/02/2014;AR-3799;MLELCD;20%;138
134;01/02/2014;02/02/2014;AB-1440;TBFR86;30%;424
135;01/02/2014;02/02/2014;MM-1065;MLELCD;10%;385
136;01/02/2014;02/02/2014;AB-2639;MFG24;10%;206
137;01/02/2014;03/02/2014;FA-3221;PHBTV15;0%;343
138;01/02/2014;03/02/2014;ML-1518;MSL24;10%;85
139;01/02/2014;03/02/2014;ML-1518;PCA72;0%;207
140;01/02/2014;03/02/2014;MT-2537;PHBTV10;30%;188
141;01/02/2014;03/02/2014;FA-3221;TBFR86;15%;392
142;01/02/2014;03/02/2014;AM-2515;PHBTV10;10%;443
143;01/02/2014;04/02/2014;ML-1518;PHBTV15;10%;470
144;01/02/2014;04/02/2014;LG-1172;BPR34;20%;69
145;01/02/2014;04/02/2014;AB-1440;PCA72;10%;353
146;01/02/2014;04/02/2014;AB-1440;TBFR86;15%;299
147;01/02/2014;04/02/2014;AM-2515;MSL24;30%;65
148;01/02/2014;04/02/2014;MT-2537;BPR34;0%;495
149;01/02/2014;05/02/2014;GM-3412;MLELCD;10%;483
150;01/02/2014;05/02/2014;FD-1456;TBFR86;0%;251
151;01/02/2014;05/02/2014;AB-2639;ERKINDB;0%;198
152;01/02/2014;05/02/2014;FB-1107;BPR34;0%;423
153;01/02/2014;06/02/2014;FZ-1836;ERKINDB;0%;364
154;01/02/2014;06/02/2014;FB-1107;PHBTV10;15%;359
155;01/02/2014;06/02/2014;MT-2537;PHBTV15;20%;298
156;01/02/2014;06/02/2014;SP-1703;TB10TS;0%;499
157;01/02/2014;07/02/2014;LG-1172;LPT21;15%;273
158;01/02/2014;07/02/2014;LA-1774;MLELCD;15%;469
159;01/02/2014;07/02/2014;AB-2639;LPT21;20%;212
160;01/02/2014;08/02/2014;AA-2209;TB10TS;10%;308
161;01/02/2014;08/02/2014;MC-2839;PHBTV10;10%;308
162;01/02/2014;08/02/2014;FZ-1836;MLELCD;20%;154
163;01/02/2014;08/02/2014;LA-1774;TBFR86;10%;441
164;01/02/2014;09/02/2014;MT-2537;MFG24;20%;200
165;01/02/2014;09/02/2014;AB-1440;PHBTV15;15%;356
166;01/02/2014;10/02/2014;AA-2209;PCA72;15%;58
167;01/02/2014;10/02/2014;MC-2839;TBFR86;15%;87
168;01/02/2014;10/02/2014;PS-3554;TB10TS;20%;380
169;01/02/2014;10/02/2014;GM-3412;BPR34;10%;216
170;01/02/2014;11/02/2014;GP-1787;MSL24;20%;482
171;01/02/2014;11/02/2014;AM-2515;PHBTV15;10%;368
172;01/02/2014;11/02/2014;AB-2639;MLELCD;15%;156
173;01/02/2014;11/02/2014;SP-1703;BPR34;30%;176
174;01/02/2014;11/02/2014;SL-1814;MSL24;0%;316
175;01/02/2014;12/02/2014;LF-2734;MLELCD;10%;320
176;01/02/2014;12/02/2014;LG-1172;ERKINDB;10%;220
177;01/02/2014;12/02/2014;BR-2259;PHBTV15;0%;108
178;01/02/2014;13/02/2014;LF-2734;TBFR86;30%;58
179;01/02/2014;13/02/2014;LF-2734;PHBTV10;20%;408
180;01/02/2014;13/02/2014;MM-1065;ERKINDB;30%;263
181;01/02/2014;13/02/2014;BR-2259;LPT21;0%;78
182;01/02/2014;13/02/2014;FB-1107;MLELCD;15%;107
183;01/02/2014;13/02/2014;FB-1107;TBFR86;0%;474
184;01/02/2014;13/02/2014;SL-1814;PHBTV15;0%;370
185;01/02/2014;13/02/2014;AM-2515;MFG24;20%;418
186;01/02/2014;14/02/2014;AB-1440;ERKINDB;15%;339
187;01/02/2014;14/02/2014;PS-3554;PHBTV15;0%;455
188;01/02/2014;14/02/2014;FB-1107;LPT21;30%;178
189;01/02/2014;14/02/2014;ML-1518;MSL24;0%;318
190;01/02/2014;14/02/2014;ML-1518;TBFR86;10%;103
191;01/02/2014;14/02/2014;FB-1107;MLELCD;15%;343
192;01/02/2014;14/02/2014;GP-1787;NBI3;0%;69
193;01/02/2014;14/02/2014;BR-2259;TB10TS;0%;171
194;01/02/2014;14/02/2014;MM-1065;MFG24;30%;309
195;01/02/2014;15/02/2014;AB-2664;BPR34;10%;198
196;01/02/2014;15/02/2014;AR-2734;MSL24;30%;130
197;01/02/2014;15/02/2014;FB-2864;MFG24;10%;428
198;01/02/2014;15/02/2014;AB-2639;TBFR86;20%;387
199;01/02/2014;16/02/2014;AA-2209;BPR34;15%;333
200;01/02/2014;16/02/2014;ML-1518;TB10TS;20%;237
201;01/02/2014;16/02/2014;LA-1774;ERKINDB;30%;86
202;01/02/2014;17/02/2014;MM-2069;TB10TS;20%;384
203;01/02/2014;17/02/2014;AB-1440;BPR34;30%;288
204;01/02/2014;17/02/2014;AM-2515;MLELCD;15%;452
205;01/02/2014;17/02/2014;GP-1787;TBFR86;20%;80
206;01/02/2014;18/02/2014;AB-1440;TBFR86;30%;53
207;01/02/2014;18/02/2014;BR-2259;MSL24;15%;467
208;01/02/2014;18/02/2014;MM-1065;TBFR86;20%;80
209;01/02/2014;18/02/2014;MT-2537;MLELCD;0%;278
210;01/02/2014;18/02/2014;AM-2515;MLELCD;30%;391
211;01/02/2014;18/02/2014;AB-2639;PHBTV10;30%;196
212;01/02/2014;18/02/2014;AB-2639;BPR34;30%;367
213;01/02/2014;18/02/2014;AM-2515;TBFR86;10%;341
214;01/02/2014;18/02/2014;LA-1774;PHBTV10;30%;285
215;01/02/2014;18/02/2014;MM-2069;MFG24;15%;316
216;01/02/2014;18/02/2014;GP-1787;LPT21;30%;384
217;01/02/2014;18/02/2014;FB-2864;LPT21;30%;142
218;01/02/2014;18/02/2014;SL-1814;TB10TS;20%;363
219;01/02/2014;18/02/2014;CB-3114;TB10TS;20%;216
220;01/02/2014;18/02/2014;MT-2537;MLELCD;15%;100
221;01/02/2014;18/02/2014;BR-2259;MFG24;30%;449
222;01/02/2014;19/02/2014;PS-3554;TBFR86;30%;351
223;01/02/2014;19/02/2014;LG-1172;PHBTV15;30%;252
224;01/02/2014;19/02/2014;FZ-1836;LPT21;0%;153
225;01/02/2014;19/02/2014;AB-2639;PHBTV10;20%;333
226;01/02/2014;19/02/2014;FA-3221;LPT21;10%;109
227;01/02/2014;19/02/2014;LF-2734;TBFR86;30%;485
228;01/02/2014;19/02/2014;MM-1065;PHBTV15;20%;306
229;01/02/2014;20/02/2014;FD-1456;ERKINDB;30%;278
230;01/02/2014;20/02/2014;FA-3221;PHBTV15;15%;157
231;01/02/2014;21/02/2014;AB-2639;NBI3;30%;75
232;01/02/2014;21/02/2014;ML-1518;NBI3;10%;266
233;01/02/2014;21/02/2014;MS-3247;PHBTV10;20%;130
234;01/02/2014;21/02/2014;AA-2209;TBFR86;10%;342
235;01/02/2014;21/02/2014;AB-1440;PHBTV15;0%;156
236;01/02/2014;21/02/2014;MC-2839;LPT21;15%;225
237;01/02/2014;21/02/2014;MM-1065;MFG24;15%;313
238;01/02/2014;22/02/2014;CB-3114;PCA72;0%;322
239;01/02/2014;22/02/2014;FA-3221;MFG24;0%;62
240;01/02/2014;22/02/2014;AA-2209;BPR34;20%;108
241;01/02/2014;22/02/2014;SP-1703;MLELCD;20%;354
242;01/02/2014;22/02/2014;LG-1172;PHBTV15;10%;494
243;01/02/2014;22/02/2014;MS-3958;MFG24;15%;264
244;01/02/2014;22/02/2014;LG-1172;TBFR86;10%;425
245;01/02/2014;23/02/2014;AB-1440;PHBTV15;0%;452
246;01/02/2014;23/02/2014;MT-2537;TBFR86;10%;122
247;01/02/2014;23/02/2014;FC-2630;TBFR86;30%;494
248;01/02/2014;23/02/2014;MM-1065;MFG24;10%;138
249;01/02/2014;24/02/2014;ML-1518;TB10TS;10%;437
250;01/02/2014;24/02/2014;FC-2630;NBI3;30%;312
251;01/02/2014;24/02/2014;MM-1065;MLELCD;30%;479
252;01/02/2014;24/02/2014;FB-1107;TB10TS;30%;129
253;01/02/2014;24/02/2014;BR-2259;TBFR86;0%;366
254;01/02/2014;25/02/2014;MG-2775;TBFR86;10%;299
255;01/02/2014;25/02/2014;MT-2537;MFG24;30%;366
256;01/02/2014;25/02/2014;BR-2259;MFG24;10%;56
257;01/02/2014;25/02/2014;BR-2259;MLELCD;15%;337
258;01/02/2014;25/02/2014;PS-3554;PHBTV15;10%;370
259;01/02/2014;25/02/2014;SP-1703;PHBTV10;0%;129
260;01/02/2014;26/02/2014;AB-2639;TBFR86;30%;129
261;01/02/2014;26/02/2014;LF-2734;MFG24;0%;464
262;01/02/2014;26/02/2014;AB-2639;LPT21;15%;349
263;01/02/2014;26/02/2014;ML-1518;MFG24;0%;65
264;01/02/2014;26/02/2014;BR-2259;BPR34;20%;82
265;01/02/2014;27/02/2014;AB-2639;PHBTV15;15%;100
266;01/02/2014;27/02/2014;AB-2639;PCA72;20%;489
267;01/02/2014;27/02/2014;BR-2259;LPT21;0%;417
268;01/02/2014;28/02/2014;FB-1107;NBI3;15%;202
269;01/02/2014;28/02/2014;AB-1440;MLELCD;15%;232
270;01/02/2014;28/02/2014;SP-1703;MFG24;0%;238
271;01/02/2014;28/02/2014;MM-1065;PCA72;10%;446
272;01/02/2014;28/02/2014;GM-3412;MLELCD;10%;474
273;01/02/2014;28/02/2014;AA-2209;TB10TS;15%;417
