Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
1;01/01/2014;01/01/2014;AM-2515;PHBTV10;0%;179
2;01/01/2014;01/01/2014;ML-1518;MLELCD;15%;381
3;01/01/2014;02/01/2014;GM-3412;PHBTV15;10%;337
4;01/01/2014;02/01/2014;GM-3412;MSL24;20%;112
5;01/01/2014;02/01/2014;AA-2209;BPR34;10%;216
6;01/01/2014;02/01/2014;MM-1065;PHBTV15;30%;453
7;01/01/2014;03/01/2014;CB-3114;MFG24;20%;312
8;01/01/2014;03/01/2014;AR-3799;BPR34;30%;275
9;01/01/2014;03/01/2014;AR-2734;BPR34;10%;179
10;01/01/2014;04/01/2014;MT-2537;MLELCD;0%;120
11;01/01/2014;04/01/2014;PS-3554;LPT21;10%;354
12;01/01/2014;05/01/2014;SL-1814;MLELCD;30%;124
13;01/01/2014;05/01/2014;SP-1703;ERKINDB;20%;443
14;01/01/2014;05/01/2014;LF-2734;MFG24;0%;123
15;01/01/2014;05/01/2014;FV-3212;TBFR86;15%;313
16;01/01/2014;06/01/2014;FA-3221;ERKINDB;15%;278
17;01/01/2014;06/01/2014;SP-1703;TBFR86;20%;481
18;01/01/2014;06/01/2014;MT-2537;MFG24;15%;426
19;01/01/2014;07/01/2014;MM-1065;MLELCD;15%;489
20;01/01/2014;07/01/2014;MG-2775;MSL24;0%;292
21;01/01/2014;07/01/2014;BR-2259;MLELCD;10%;136
22;01/01/2014;07/01/2014;LF-2734;TBFR86;10%;180
23;01/01/2014;07/01/2014;AB-2639;TB10TS;10%;243
24;01/01/2014;08/01/2014;FV-3212;PHBTV10;10%;484
25;01/01/2014;08/01/2014;AM-2515;MLELCD;10%;352
26;01/01/2014;08/01/2014;FA-3221;PHBTV15;15%;122
27;01/01/2014;08/01/2014;FD-1456;BPR34;20%;487
28;01/01/2014;09/01/2014;MM-1065;MLELCD;0%;98
29;01/01/2014;10/01/2014;AM-2515;PHBTV15;20%;478
30;01/01/2014;10/01/2014;PS-3554;BPR34;0%;466
31;01/01/2014;10/01/2014;SP-1703;PHBTV15;15%;347
32;01/01/2014;10/01/2014;LF-2734;MFG24;20%;287
33;01/01/2014;10/01/2014;MM-1065;MLELCD;30%;165
34;01/01/2014;10/01/2014;AB-1440;TBFR86;15%;301
35;01/01/2014;10/01/2014;BR-2259;MFG24;30%;62
36;01/01/2014;10/01/2014;MT-2537;LPT21;15%;305
37;01/01/2014;12/01/2014;AA-2209;NBI3;10%;62
38;01/01/2014;12/01/2014;LA-1774;MLELCD;30%;380
39;01/01/2014;12/01/2014;GM-3412;TB10TS;0%;492
40;01/01/2014;12/01/2014;ML-1518;TBFR86;15%;449
41;01/01/2014;13/01/2014;AM-2515;MLELCD;0%;344
42;01/01/2014;13/01/2014;FA-3221;BPR34;0%;134
43;01/01/2014;13/01/2014;LG-1172;TBFR86;10%;134
44;01/01/2014;13/01/2014;LA-1774;MSL24;15%;213
45;01/01/2014;13/01/2014;SL-1814;MLELCD;20%;135
46;01/01/2014;14/01/2014;LA-1774;BPR34;20%;153
47;01/01/2014;14/01/2014;FB-2864;PHBTV10;10%;359
48;01/01/2014;14/01/2014;FB-1107;MFG24;30%;173
49;01/01/2014;14/01/2014;MT-2537;PHBTV15;10%;327
50;01/01/2014;15/01/2014;LF-2734;MLELCD;10%;79
51;01/01/2014;15/01/2014;AA-2209;BPR34;0%;335
52;01/01/2014;15/01/2014;SP-1703;MFG24;10%;227
53;01/01/2014;15/01/2014;GM-3412;ERKINDB;30%;476
54;01/01/2014;15/01/2014;AB-2639;PHBTV10;20%;366
55;01/01/2014;15/01/2014;AB-2639;PHBTV15;15%;320
56;01/01/2014;16/01/2014;CB-3114;MFG24;0%;368
57;01/01/2014;16/01/2014;AA-2209;MLELCD;30%;57
58;01/01/2014;16/01/2014;SP-1703;MLELCD;30%;118
59;01/01/2014;16/01/2014;SL-1814;TBFR86;20%;338
60;01/01/2014;17/01/2014;LF-2734;TBFR86;0%;210
61;01/01/2014;17/01/2014;MM-1065;PHBTV10;15%;436
62;01/01/2014;18/01/2014;MM-1065;MFG24;30%;436
63;01/01/2014;18/01/2014;MS-3958;TBFR86;0%;290
64;01/01/2014;19/01/2014;FC-2630;BPR34;0%;213
65;01/01/2014;19/01/2014;FV-3212;PHBTV15;20%;267
66;01/01/2014;19/01/2014;GP-1787;MFG24;10%;430
67;01/01/2014;19/01/2014;AB-1440;MFG24;15%;208
68;01/01/2014;20/01/2014;ML-1518;PCA72;0%;400
69;01/01/2014;20/01/2014;LF-2734;ERKINDB;0%;441
70;01/01/2014;20/01/2014;FA-3221;PHBTV15;10%;333
71;01/01/2014;20/01/2014;ML-1518;MLELCD;15%;172
72;01/01/2014;20/01/2014;AB-2639;LPT21;30%;485
73;01/01/2014;21/01/2014;AB-2639;TB10TS;20%;452
74;01/01/2014;21/01/2014;GM-3412;TB10TS;30%;433
75;01/01/2014;21/01/2014;FB-1107;PHBTV15;20%;461
76;01/01/2014;21/01/2014;ML-1518;TBFR86;20%;163
77;01/01/2014;21/01/2014;MM-1065;MSL24;20%;402
78;01/01/2014;21/01/2014;LA-1774;TB10TS;30%;424
79;01/01/2014;21/01/2014;AA-2209;TBFR86;10%;71
80;01/01/2014;22/01/2014;FZ-1836;PHBTV10;10%;163
81;01/01/2014;22/01/2014;AR-2734;MLELCD;20%;71
82;01/01/2014;22/01/2014;AA-2209;PHBTV10;0%;470
83;01/01/2014;22/01/2014;SP-1703;BPR34;10%;182
84;01/01/2014;22/01/2014;MT-2537;MFG24;15%;497
85;01/01/2014;23/01/2014;LF-2734;MFG24;15%;453
86;01/01/2014;23/01/2014;MS-3958;PHBTV10;15%;397
87;01/01/2014;23/01/2014;SP-1703;LPT21;20%;439
88;01/01/2014;23/01/2014;AB-2664;PHBTV15;30%;416
89;01/01/2014;23/01/2014;MG-2775;PCA72;15%;367
90;01/01/2014;23/01/2014;LF-2734;MLELCD;0%;200
91;01/01/2014;24/01/2014;GP-1787;TBFR86;15%;313
92;01/01/2014;24/01/2014;MT-2537;MSL24;20%;339
93;01/01/2014;25/01/2014;ML-1518;PHBTV10;15%;194
94;01/01/2014;25/01/2014;AB-1440;BPR34;0%;389
95;01/01/2014;25/01/2014;LA-1774;PHBTV15;10%;168
96;01/01/2014;25/01/2014;MM-1065;MFG24;10%;156
97;01/01/2014;25/01/2014;BR-2259;TB10TS;20%;392
98;01/01/2014;25/01/2014;AB-1440;LPT21;15%;196
99;01/01/2014;26/01/2014;AM-2515;MLELCD;0%;363
100;01/01/2014;26/01/2014;AB-2639;LPT21;30%;214
101;01/01/2014;26/01/2014;AB-1440;MLELCD;15%;167
