Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
628;01/04/2014;01/06/2014;LF-2734;LPT21;10%;34
629;01/04/2014;01/06/2014;SL-1814;TBFR86;10%;225
630;01/04/2014;01/06/2014;SP-1703;LPT21;15%;89
631;01/04/2014;01/06/2014;FB-1107;PHBTV15;20%;15
632;01/04/2014;01/06/2014;AA-2209;MFG24;30%;250
633;01/04/2014;01/06/2014;MM-1065;TB10TS;10%;216
634;01/04/2014;02/06/2014;AB-2639;TBFR86;30%;33
635;01/04/2014;02/06/2014;FA-3221;MFG24;15%;55
636;01/04/2014;02/06/2014;LA-1774;MFG24;30%;229
637;01/04/2014;02/06/2014;AR-3799;TBFR86;30%;66
638;01/04/2014;03/06/2014;PS-3554;MFG24;30%;28
639;01/04/2014;03/06/2014;MT-2537;PHBTV10;10%;62
640;01/04/2014;04/06/2014;MS-3247;TB10TS;20%;228
641;01/04/2014;04/06/2014;MS-3247;TBFR86;15%;17
642;01/04/2014;04/06/2014;PS-3554;MSL24;30%;242
643;01/04/2014;04/06/2014;MS-3247;MLELCD;15%;190
644;01/04/2014;05/06/2014;FB-1107;TB10TS;15%;202
645;01/04/2014;05/06/2014;AR-3799;PHBTV15;10%;44
646;01/04/2014;05/06/2014;AA-2209;MFG24;15%;173
647;01/04/2014;05/06/2014;SP-1703;PHBTV15;20%;68
648;01/04/2014;06/06/2014;SP-1703;PHBTV15;0%;61
649;01/04/2014;06/06/2014;LF-2734;MFG24;20%;175
650;01/04/2014;06/06/2014;AR-2734;LPT21;30%;99
651;01/04/2014;06/06/2014;PS-3554;TB10TS;0%;236
652;01/04/2014;06/06/2014;ML-1518;TBFR86;0%;140
653;01/04/2014;07/06/2014;ML-1518;MSL24;30%;201
654;01/04/2014;07/06/2014;BR-2259;PHBTV10;10%;217
655;01/04/2014;08/06/2014;CB-3114;LPT21;10%;149
656;01/04/2014;08/06/2014;MG-2775;MFG24;10%;73
657;01/04/2014;08/06/2014;BR-2259;MFG24;0%;184
658;01/04/2014;09/06/2014;AA-2209;TB10TS;20%;72
659;01/04/2014;09/06/2014;AB-2664;MSL24;15%;189
660;01/04/2014;09/06/2014;MS-3247;MSL24;0%;106
661;01/04/2014;09/06/2014;AM-2515;BPR34;10%;15
662;01/04/2014;10/06/2014;AB-2639;TB10TS;0%;235
663;01/04/2014;10/06/2014;MT-2537;MFG24;10%;119
664;01/04/2014;10/06/2014;AA-2209;PHBTV10;0%;103
665;01/04/2014;10/06/2014;AB-2639;TBFR86;30%;212
666;01/04/2014;10/06/2014;ML-1518;TBFR86;0%;52
667;01/04/2014;11/06/2014;FA-3221;TBFR86;10%;181
668;01/04/2014;11/06/2014;AB-2639;PCA72;15%;77
669;01/04/2014;12/06/2014;AB-1440;MFG24;10%;68
670;01/04/2014;12/06/2014;AM-2515;MLELCD;30%;36
671;01/04/2014;12/06/2014;AM-2515;MLELCD;0%;79
672;01/04/2014;12/06/2014;SP-1703;MLELCD;15%;127
673;01/04/2014;12/06/2014;CB-3114;PCA72;30%;10
674;01/04/2014;13/06/2014;AB-1440;LPT21;20%;11
675;01/04/2014;13/06/2014;AB-1440;TB10TS;0%;187
676;01/04/2014;14/06/2014;FB-1107;TBFR86;15%;99
677;01/04/2014;15/06/2014;CB-3114;MFG24;10%;105
678;01/04/2014;15/06/2014;AM-2515;MSL24;0%;131
679;01/04/2014;16/06/2014;MT-2537;MFG24;0%;176
680;01/04/2014;17/06/2014;CB-3114;MLELCD;0%;135
681;01/04/2014;17/06/2014;BR-2259;LPT21;10%;64
682;01/04/2014;18/06/2014;MT-2537;LPT21;20%;40
683;01/04/2014;18/06/2014;SP-1703;TBFR86;10%;213
684;01/04/2014;18/06/2014;MT-2537;MLELCD;0%;182
685;01/04/2014;18/06/2014;ML-1518;TB10TS;10%;69
686;01/04/2014;19/06/2014;FA-3221;PHBTV15;0%;116
687;01/04/2014;19/06/2014;FV-3212;MFG24;10%;59
688;01/04/2014;19/06/2014;AM-2515;BPR34;0%;14
689;01/04/2014;20/06/2014;AB-1440;TB10TS;30%;232
690;01/04/2014;20/06/2014;SP-1703;ERKINDB;20%;57
691;01/04/2014;20/06/2014;CB-3114;MFG24;10%;220
692;01/04/2014;21/06/2014;MM-1065;MFG24;15%;94
693;01/04/2014;21/06/2014;AB-2664;TB10TS;20%;93
694;01/04/2014;21/06/2014;AB-2664;TB10TS;30%;35
695;01/04/2014;21/06/2014;FB-1107;PCA72;10%;224
696;01/04/2014;21/06/2014;SP-1703;NBI3;30%;240
697;01/04/2014;21/06/2014;AA-2209;TBFR86;30%;163
698;01/04/2014;22/06/2014;MG-2775;MLELCD;10%;30
699;01/04/2014;23/06/2014;AA-2209;PCA72;20%;67
700;01/04/2014;23/06/2014;AR-2734;LPT21;10%;216
701;01/04/2014;23/06/2014;LG-1172;TB10TS;30%;18
702;01/04/2014;23/06/2014;PS-3554;TBFR86;20%;43
703;01/04/2014;24/06/2014;MM-1065;MSL24;30%;215
704;01/04/2014;24/06/2014;GP-1787;PHBTV10;30%;71
705;01/04/2014;24/06/2014;AB-1440;LPT21;15%;53
706;01/04/2014;24/06/2014;LF-2734;MFG24;0%;121
707;01/04/2014;24/06/2014;AA-2209;MFG24;10%;196
708;01/04/2014;25/06/2014;SL-1814;TB10TS;0%;133
709;01/04/2014;25/06/2014;FB-1107;TB10TS;15%;27
710;01/04/2014;25/06/2014;FV-3212;PHBTV15;10%;27
711;01/04/2014;26/06/2014;AM-2515;MSL24;30%;52
712;01/04/2014;26/06/2014;AB-1440;PHBTV10;0%;193
