Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
739;01/04/2014;01/07/2014;LF-2734;LPT21;10%;440
740;01/04/2014;01/07/2014;SL-1814;TBFR86;0%;240
741;01/04/2014;01/07/2014;SP-1703;LPT21;10%;399
742;01/04/2014;01/07/2014;FB-1107;PHBTV15;15%;229
743;01/04/2014;01/07/2014;AA-2209;MFG24;30%;261
744;01/04/2014;01/07/2014;MM-1065;TB10TS;15%;312
745;01/04/2014;02/07/2014;AB-2639;TBFR86;30%;421
746;01/04/2014;02/07/2014;FA-3221;MFG24;0%;441
747;01/04/2014;02/07/2014;LA-1774;MFG24;20%;123
748;01/04/2014;02/07/2014;AR-3799;TBFR86;10%;285
749;01/04/2014;03/07/2014;PS-3554;MFG24;0%;207
750;01/04/2014;03/07/2014;MT-2537;PHBTV10;30%;338
751;01/04/2014;04/07/2014;MS-3247;TB10TS;0%;242
752;01/04/2014;04/07/2014;MS-3247;TBFR86;10%;166
753;01/04/2014;04/07/2014;LF-2734;NBI3;0%;445
754;01/04/2014;04/07/2014;GM-3412;PHBTV10;20%;434
755;01/04/2014;04/07/2014;PS-3554;MSL24;20%;432
756;01/04/2014;04/07/2014;MS-3247;MLELCD;10%;232
757;01/04/2014;05/07/2014;FB-1107;TB10TS;10%;213
758;01/04/2014;05/07/2014;AR-3799;PHBTV15;0%;370
759;01/04/2014;05/07/2014;AA-2209;LPT21;10%;195
760;01/04/2014;05/07/2014;SP-1703;PHBTV15;30%;153
761;01/04/2014;06/07/2014;SP-1703;MFG24;30%;185
762;01/04/2014;06/07/2014;LF-2734;TB10TS;10%;347
763;01/04/2014;06/07/2014;AR-2734;TBFR86;10%;180
764;01/04/2014;06/07/2014;PS-3554;NBI3;0%;197
765;01/04/2014;06/07/2014;ML-1518;PHBTV15;15%;327
766;01/04/2014;07/07/2014;ML-1518;MFG24;30%;333
767;01/04/2014;07/07/2014;LA-1774;LPT21;15%;438
