Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
274;01/03/2014;01/03/2014;PS-3554;PHBTV15;10%;356
275;01/03/2014;01/03/2014;AB-2639;NBI3;30%;331
276;01/03/2014;02/03/2014;AB-2639;TBFR86;10%;307
277;01/03/2014;02/03/2014;AM-2515;PHBTV15;20%;344
278;01/03/2014;02/03/2014;AB-1440;MSL24;30%;284
279;01/03/2014;02/03/2014;ML-1518;MLELCD;30%;237
280;01/03/2014;02/03/2014;AB-2664;MFG24;10%;149
281;01/03/2014;03/03/2014;ML-1518;PHBTV15;0%;243
282;01/03/2014;03/03/2014;PS-3554;PHBTV15;15%;232
283;01/03/2014;03/03/2014;CB-3114;TB10TS;10%;62
284;01/03/2014;04/03/2014;ML-1518;MFG24;20%;230
285;01/03/2014;04/03/2014;AB-2639;PCA72;0%;194
286;01/03/2014;05/03/2014;AB-1440;TBFR86;20%;350
287;01/03/2014;05/03/2014;MS-3247;MFG24;30%;235
288;01/03/2014;05/03/2014;AA-2209;PHBTV10;15%;145
289;01/03/2014;05/03/2014;ML-1518;MLELCD;20%;111
290;01/03/2014;05/03/2014;LA-1774;LPT21;30%;315
291;01/03/2014;06/03/2014;FB-1107;PHBTV10;30%;418
292;01/03/2014;06/03/2014;AB-2639;BPR34;20%;300
293;01/03/2014;06/03/2014;SL-1814;PHBTV10;15%;386
294;01/03/2014;06/03/2014;BR-2259;LPT21;15%;433
295;01/03/2014;06/03/2014;GM-3412;TBFR86;10%;401
296;01/03/2014;07/03/2014;AR-2734;PHBTV15;20%;77
297;01/03/2014;07/03/2014;MM-1065;MFG24;10%;61
298;01/03/2014;07/03/2014;MT-2537;MFG24;20%;488
299;01/03/2014;07/03/2014;MC-2839;PHBTV15;0%;424
300;01/03/2014;07/03/2014;SP-1703;TB10TS;30%;449
301;01/03/2014;07/03/2014;LF-2734;TBFR86;10%;175
302;01/03/2014;07/03/2014;AM-2515;TBFR86;20%;337
303;01/03/2014;08/03/2014;BR-2259;TB10TS;15%;500
304;01/03/2014;08/03/2014;AA-2209;MFG24;20%;290
305;01/03/2014;08/03/2014;FB-2864;MLELCD;20%;415
306;01/03/2014;08/03/2014;FC-2630;TBFR86;30%;493
307;01/03/2014;08/03/2014;FC-2630;MFG24;10%;423
308;01/03/2014;08/03/2014;AB-1440;MSL24;20%;490
309;01/03/2014;09/03/2014;AM-2515;MFG24;0%;489
310;01/03/2014;10/03/2014;MG-2775;MSL24;15%;307
311;01/03/2014;10/03/2014;PS-3554;LPT21;15%;334
312;01/03/2014;10/03/2014;ML-1518;MSL24;20%;471
