Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
1174;01/02/2014;01/11/2014;PS-3554;PHBTV10;10%;240
1175;01/02/2014;01/11/2014;PS-3554;PCA72;0%;360
1176;01/02/2014;01/11/2014;FA-3221;PHBTV15;5%;255
1177;01/02/2014;01/11/2014;AB-2639;LPT21;0%;394
1178;01/02/2014;02/11/2014;LF-2734;ERKINDB;0%;232
1179;01/02/2014;02/11/2014;AR-3799;MLELCD;5%;262
1180;01/02/2014;02/11/2014;AB-1440;TBFR86;0%;224
1181;01/02/2014;02/11/2014;MM-1065;MLELCD;5%;367
1182;01/02/2014;02/11/2014;AB-2639;MFG24;5%;278
1183;01/02/2014;03/11/2014;FA-3221;PHBTV15;0%;235
1184;01/02/2014;03/11/2014;ML-1518;MSL24;10%;332
1185;01/02/2014;03/11/2014;ML-1518;PCA72;0%;327
1186;01/02/2014;03/11/2014;MT-2537;PHBTV10;0%;290
1187;01/02/2014;03/11/2014;FA-3221;TBFR86;5%;310
1188;01/02/2014;03/11/2014;AM-2515;PHBTV10;5%;245
1189;01/02/2014;04/11/2014;ML-1518;PHBTV15;5%;352
1190;01/02/2014;04/11/2014;LG-1172;BPR34;5%;298
1191;01/02/2014;04/11/2014;AB-1440;PCA72;0%;247
1192;01/02/2014;04/11/2014;AB-1440;TBFR86;5%;277
1193;01/02/2014;04/11/2014;AM-2515;MSL24;0%;315
1194;01/02/2014;04/11/2014;MT-2537;BPR34;5%;243
1195;01/02/2014;05/11/2014;GM-3412;MLELCD;10%;293
1196;01/02/2014;05/11/2014;FD-1456;TBFR86;10%;298
1197;01/02/2014;05/11/2014;AB-2639;ERKINDB;0%;285
1198;01/02/2014;05/11/2014;FB-1107;BPR34;0%;302
1199;01/02/2014;06/11/2014;FZ-1836;ERKINDB;5%;369
1200;01/02/2014;06/11/2014;FB-1107;PHBTV10;10%;289
1201;01/02/2014;06/11/2014;MT-2537;PHBTV15;10%;294
1202;01/02/2014;06/11/2014;SP-1703;TB10TS;5%;394
1203;01/02/2014;07/11/2014;LG-1172;LPT21;5%;272
1204;01/02/2014;07/11/2014;LA-1774;MLELCD;5%;335
1205;01/02/2014;07/11/2014;AB-2639;LPT21;5%;380
1206;01/02/2014;08/11/2014;AA-2209;TB10TS;10%;228
1207;01/02/2014;08/11/2014;MC-2839;PHBTV10;10%;314
1208;01/02/2014;08/11/2014;FZ-1836;MLELCD;0%;310
1209;01/02/2014;08/11/2014;LA-1774;TBFR86;10%;372
1210;01/02/2014;09/11/2014;MT-2537;MFG24;5%;336
1211;01/02/2014;09/11/2014;AB-1440;PHBTV15;10%;258
