Transizione_ID;Data di Stoccaggio;Data Transizione;Negozio_ID;Prodotto_ID;Sconto;Unità Vendute
1062;01/04/2014;01/10/2014;LF-2734;LPT21;15%;198
1063;01/04/2014;01/10/2014;SL-1814;TBFR86;10%;244
1064;01/04/2014;01/10/2014;SP-1703;LPT21;10%;143
1065;01/04/2014;01/10/2014;FB-1107;PHBTV15;30%;129
1066;01/04/2014;01/10/2014;AA-2209;MFG24;15%;219
1067;01/04/2014;01/10/2014;MM-1065;TB10TS;15%;92
1068;01/04/2014;02/10/2014;AB-2639;TBFR86;0%;219
1069;01/04/2014;02/10/2014;FA-3221;MFG24;15%;229
1070;01/04/2014;02/10/2014;LA-1774;MFG24;15%;67
1071;01/04/2014;02/10/2014;AR-3799;TBFR86;30%;195
1072;01/04/2014;03/10/2014;PS-3554;MFG24;15%;77
1073;01/04/2014;03/10/2014;MT-2537;PHBTV10;0%;113
1074;01/04/2014;04/10/2014;MS-3247;TB10TS;30%;162
1075;01/04/2014;04/10/2014;MS-3247;TBFR86;10%;69
1076;01/04/2014;04/10/2014;LF-2734;NBI3;20%;66
1077;01/04/2014;04/10/2014;GM-3412;PHBTV10;20%;56
1078;01/04/2014;04/10/2014;PS-3554;MSL24;0%;92
1079;01/04/2014;04/10/2014;MS-3247;MLELCD;15%;68
1080;01/04/2014;05/10/2014;FB-1107;TB10TS;10%;154
1081;01/04/2014;05/10/2014;AR-3799;PHBTV15;0%;99
1082;01/04/2014;05/10/2014;AA-2209;MFG24;15%;63
1083;01/04/2014;05/10/2014;SP-1703;PHBTV15;0%;121
1084;01/04/2014;06/10/2014;LF-2734;PHBTV15;30%;142
1085;01/04/2014;06/10/2014;SL-1814;MFG24;20%;154
1086;01/04/2014;06/10/2014;SP-1703;TBFR86;0%;182
1087;01/04/2014;06/10/2014;FB-1107;NBI3;30%;173
1088;01/04/2014;06/10/2014;AA-2209;MFG24;0%;171
1089;01/04/2014;07/10/2014;MM-1065;TB10TS;30%;169
1090;01/04/2014;07/10/2014;AB-2639;TBFR86;15%;179
1091;01/04/2014;08/10/2014;FA-3221;MFG24;10%;126
1092;01/04/2014;08/10/2014;LA-1774;MFG24;15%;81
1093;01/04/2014;08/10/2014;AR-3799;TBFR86;30%;180
1094;01/04/2014;09/10/2014;PS-3554;MFG24;10%;52
1095;01/04/2014;09/10/2014;MT-2537;PHBTV10;10%;235
1096;01/04/2014;09/10/2014;MS-3247;TB10TS;0%;147
1097;01/04/2014;09/10/2014;MS-3247;TBFR86;0%;83
1098;01/04/2014;09/10/2014;LF-2734;NBI3;15%;99
1099;01/04/2014;09/10/2014;GM-3412;PHBTV10;0%;198
1100;01/04/2014;09/10/2014;PS-3554;MSL24;30%;209
1101;01/04/2014;10/10/2014;MS-3247;MLELCD;30%;172
1102;01/04/2014;10/10/2014;MT-2537;TB10TS;30%;100
1103;01/04/2014;10/10/2014;AA-2209;PHBTV15;15%;162
1104;01/04/2014;10/10/2014;AB-2639;PHBTV10;10%;140
1105;01/04/2014;10/10/2014;ML-1518;MSL24;0%;238
1106;01/04/2014;11/10/2014;FA-3221;MLELCD;30%;97
1107;01/04/2014;11/10/2014;AB-2639;TB10TS;0%;132
1108;01/04/2014;12/10/2014;CB-3114;PHBTV15;30%;134
1109;01/04/2014;12/10/2014;AM-2515;MFG24;15%;76
1110;01/04/2014;12/10/2014;MT-2537;PHBTV15;30%;163
1111;01/04/2014;12/10/2014;CB-3114;PHBTV15;30%;69
1112;01/04/2014;12/10/2014;BR-2259;MFG24;10%;140
1113;01/04/2014;13/10/2014;MT-2537;TBFR86;10%;228
1114;01/04/2014;13/10/2014;SP-1703;NBI3;0%;193
1115;01/04/2014;13/10/2014;MT-2537;MFG24;0%;248
1116;01/04/2014;13/10/2014;ML-1518;TB10TS;20%;124
1117;01/04/2014;13/10/2014;MS-3247;TBFR86;30%;115
1118;01/04/2014;14/10/2014;LF-2734;PHBTV15;20%;239
1119;01/04/2014;14/10/2014;GM-3412;TBFR86;20%;142
1120;01/04/2014;15/10/2014;PS-3554;MFG24;0%;132
1121;01/04/2014;15/10/2014;AM-2515;MSL24;20%;115
1122;01/04/2014;16/10/2014;MT-2537;MFG24;20%;190
1123;01/04/2014;17/10/2014;CB-3114;MLELCD;20%;74
1124;01/04/2014;17/10/2014;BR-2259;LPT21;10%;58
1125;01/04/2014;18/10/2014;MT-2537;LPT21;30%;65
1126;01/04/2014;18/10/2014;SP-1703;TBFR86;30%;83
1127;01/04/2014;18/10/2014;MT-2537;MLELCD;10%;95
1128;01/04/2014;18/10/2014;ML-1518;TB10TS;15%;215
1129;01/04/2014;19/10/2014;MS-3247;PHBTV15;10%;194
1130;01/04/2014;19/10/2014;LF-2734;MFG24;20%;112
1131;01/04/2014;19/10/2014;GM-3412;BPR34;0%;171
1132;01/04/2014;20/10/2014;PS-3554;TB10TS;10%;94
1133;01/04/2014;20/10/2014;MS-3247;ERKINDB;30%;104
1134;01/04/2014;20/10/2014;FB-1107;MFG24;20%;83
1135;01/04/2014;21/10/2014;AR-3799;MFG24;20%;141
1136;01/04/2014;21/10/2014;AA-2209;TB10TS;15%;200
1137;01/04/2014;21/10/2014;SP-1703;TB10TS;30%;206
1138;01/04/2014;21/10/2014;LF-2734;PCA72;0%;113
1139;01/04/2014;21/10/2014;SL-1814;NBI3;20%;176
1140;01/04/2014;21/10/2014;SP-1703;TBFR86;10%;222
1141;01/04/2014;22/10/2014;FB-1107;PHBTV10;0%;74
1142;01/04/2014;23/10/2014;AA-2209;MLELCD;15%;150
1143;01/04/2014;23/10/2014;AR-2734;PHBTV15;10%;214
1144;01/04/2014;23/10/2014;SL-1814;MFG24;30%;157
1145;01/04/2014;23/10/2014;SP-1703;PHBTV15;20%;70
1146;01/04/2014;23/10/2014;FB-1107;PHBTV15;0%;222
1147;01/04/2014;24/10/2014;MM-1065;MFG24;30%;62
1148;01/04/2014;24/10/2014;MG-2775;TBFR86;15%;186
1149;01/04/2014;24/10/2014;AB-2639;NBI3;10%;185
1150;01/04/2014;24/10/2014;AR-2734;MFG24;10%;103
1151;01/04/2014;24/10/2014;AR-3799;TB10TS;15%;234
1152;01/04/2014;24/10/2014;MC-2839;TBFR86;15%;75
1153;01/04/2014;24/10/2014;FC-2630;PHBTV15;20%;200
1154;01/04/2014;25/10/2014;MM-1065;TBFR86;10%;181
1155;01/04/2014;25/10/2014;ML-1518;MFG24;15%;195
1156;01/04/2014;25/10/2014;AA-2209;MSL24;15%;57
1157;01/04/2014;26/10/2014;SP-1703;MFG24;20%;193
1158;01/04/2014;26/10/2014;LF-2734;MLELCD;15%;211
1159;01/04/2014;26/10/2014;SL-1814;LPT21;20%;130
1160;01/04/2014;26/10/2014;SP-1703;LPT21;0%;151
1161;01/04/2014;26/10/2014;FB-1107;MLELCD;0%;154
1162;01/04/2014;27/10/2014;MM-1065;TBFR86;15%;75
1163;01/04/2014;27/10/2014;MG-2775;TBFR86;15%;220
1164;01/04/2014;27/10/2014;AB-2639;PHBTV10;20%;130
1165;01/04/2014;28/10/2014;AR-2734;LPT21;10%;211
1166;01/04/2014;28/10/2014;AR-3799;PCA72;30%;200
1167;01/04/2014;29/10/2014;MC-2839;TBFR86;30%;227
1168;01/04/2014;30/10/2014;FC-2630;BPR34;0%;140
1169;01/04/2014;30/10/2014;MM-1065;MLELCD;15%;143
1170;01/04/2014;30/10/2014;ML-1518;MSL24;10%;101
1171;01/04/2014;30/10/2014;AM-2515;TBFR86;30%;80
1172;01/04/2014;30/10/2014;AR-3799;MFG24;15%;190
1173;01/04/2014;30/10/2014;LF-2734;PCA72;30%;126
